method,nx,cfl,final_time,l1_error,l2_error,linf_error,mass_error
upwind,100,0.5,0.25,0.015520832597443664,0.01723647497030744,0.024364028558024914,0.0
cfweno,100,0.5,0.25,1.3002111054571236e-06,1.4439338891772207e-06,2.0410232706158382e-06,1.4210854715202004e-16
